Platform,Year,Genre,Publisher
N64,2001,Sports,Electronic Arts
GBA,2004,Racing,Electronic Arts
PS2,2008,Action,Activision
PS,2001,Shooter,Take-Two Interactive
XB,2001,Sports,Electronic Arts
GBA,2005,Simulation,THQ
PC,2013,Sports,Electronic Arts
PS2,2005,Action,Disney Interactive Studios
PS4,2014,Racing,Ubisoft
DS,2010,Misc,THQ
SAT,1996,Platform,Sega
XB,2003,Sports,Electronic Arts
PC,2016,Shooter,Activision
XOne,2015,Misc,Harmonix Music Systems
Wii,2010,Sports,Electronic Arts
PS2,2003,Action,Electronic Arts
WiiU,2016,Misc,Microsoft Game Studios
PS,2001,Sports,Sony Computer Entertainment
PS4,2014,Action,Square Enix
PS2,2000,Shooter,Eidos Interactive
2600,1981,Action,Activision
PS2,2004,Role-Playing,Namco Bandai Games
DS,2009,Role-Playing,Rising Star Games
GBA,2002,Platform,BAM! Entertainment
GBA,2003,Platform,Capcom
SNES,1994,Simulation,Enix Corporation
Wii,2010,Sports,Electronic Arts
PS3,2010,Role-Playing,Nippon Ichi Software
X360,2012,Shooter,Take-Two Interactive
GBA,2004,Misc,N/A
PS2,2009,Action,Atari
PS2,2003,Action,Interplay
Wii,2010,Action,Activision
X360,2007,Strategy,Electronic Arts
N64,1998,Racing,Midway Games
N64,1997,Platform,Nintendo
PC,2012,Shooter,Take-Two Interactive
DS,2008,Simulation,Ubisoft
DS,2006,Platform,Konami Digital Entertainment
Wii,N/A,Sports,Unknown
PS2,2004,Sports,Sony Computer Entertainment
Wii,2013,Sports,Electronic Arts
PS2,2003,Role-Playing,Sony Online Entertainment
PS,1996,Sports,Sony Computer Entertainment
DS,2009,Adventure,ChunSoft
PS2,2001,Simulation,Namco Bandai Games
PS3,2012,Simulation,Konami Digital Entertainment
PS3,2007,Action,Electronic Arts
PSP,2006,Role-Playing,Ubisoft
PS2,2008,Misc,Electronic Arts
PS2,2006,Role-Playing,Square Enix
PC,2006,Simulation,Microsoft Game Studios
XOne,2014,Action,Warner Bros. Interactive Entertainment
GC,2002,Sports,Electronic Arts
Wii,2009,Racing,Electronic Arts
X360,2008,Misc,Disney Interactive Studios
GBA,2002,Sports,Atari
WiiU,2012,Shooter,Activision
PS3,2010,Action,Disney Interactive Studios
XB,2003,Misc,Midway Games
DS,2009,Shooter,Activision
Wii,2007,Simulation,Ubisoft
DS,2011,Action,Ubisoft
PS2,2009,Action,Activision
PS,1997,Sports,989 Studios
PS4,2014,Action,Activision
PS2,2005,Misc,Sega
PSP,2007,Action,Disney Interactive Studios
PSP,2006,Racing,THQ
DS,2006,Action,D3Publisher
SAT,1997,Role-Playing,Sega
PSP,2011,Strategy,Banpresto
GC,2002,Sports,Electronic Arts
DS,2009,Action,D3Publisher
PSP,2009,Action,D3Publisher
DS,2008,Role-Playing,Square Enix
PS2,2007,Platform,Vivendi Games
GBA,2001,Role-Playing,Capcom
PS3,2009,Misc,Warner Bros. Interactive Entertainment
PS2,2006,Shooter,Eidos Interactive
PS2,2005,Sports,Take-Two Interactive
GC,2003,Shooter,Electronic Arts
XB,2003,Simulation,Electronic Arts
X360,2009,Misc,Activision
PS2,2003,Adventure,Sony Computer Entertainment
PS,1999,Adventure,Sony Computer Entertainment
SNES,1991,Action,Namco Bandai Games
PS,1998,Action,Psygnosis
3DS,2013,Role-Playing,Rising Star Games
GC,2005,Sports,Activision
X360,2011,Sports,Take-Two Interactive
GBA,2004,Platform,Nintendo
DS,2008,Platform,Vivendi Games
Wii,2007,Shooter,Electronic Arts
PSP,2007,Strategy,Konami Digital Entertainment
PS,1997,Simulation,Psygnosis
PS2,2003,Sports,Acclaim Entertainment
PS,2003,Sports,Gotham Games
PSV,2012,Role-Playing,GungHo
DS,2010,Action,Electronic Arts
DS,2006,Simulation,Ubisoft
DS,2009,Action,THQ
PS,2001,Racing,Electronic Arts
SAT,1997,Role-Playing,ESP
XB,2004,Sports,Global Star
GBA,2005,Misc,Konami Digital Entertainment
PS2,2003,Racing,THQ
PS2,2007,Action,THQ
PS2,2002,Action,Atari
Wii,2007,Platform,Sega
PS2,2004,Racing,Zoo Digital Publishing
X360,2010,Shooter,Sega
GBA,2004,Action,Ubisoft
DS,2009,Fighting,THQ
GBA,2004,Platform,Activision
PS,1998,Racing,TYO
PSP,2005,Sports,Electronic Arts
PS,1999,Role-Playing,Sony Computer Entertainment
DS,2007,Misc,Telegames
PSP,2008,Fighting,Namco Bandai Games
XB,2002,Racing,Atari
PS2,2004,Sports,Konami Digital Entertainment
DS,2010,Adventure,Capcom
PS2,2003,Action,THQ
N64,1998,Racing,Midway Games
N64,2000,Sports,Midway Games
N64,2001,Puzzle,Nintendo
N64,1999,Sports,Konami Digital Entertainment
N64,2000,Shooter,3DO
GC,2004,Shooter,Electronic Arts
PS3,2010,Misc,MTV Games
PS4,2015,Action,Bethesda Softworks
PS2,2008,Sports,Sony Computer Entertainment
XOne,2014,Action,Disney Interactive Studios
XB,2004,Simulation,Konami Digital Entertainment
GC,2004,Platform,Capcom
X360,2006,Simulation,Ubisoft
SNES,1995,Sports,Namco Bandai Games
GBA,2004,Misc,N/A
PS2,2008,Sports,Activision
DS,2010,Misc,Namco Bandai Games
GC,2005,Action,Electronic Arts
Wii,2009,Adventure,Knowledge Adventure
PS2,2007,Strategy,LucasArts
DS,2009,Simulation,Ubisoft
X360,2005,Action,Sega
PS,2001,Action,Capcom
Wii,2008,Racing,Activision
PS2,2002,Shooter,Universal Interactive
GC,2005,Puzzle,Sega
PS2,2005,Action,Konami Digital Entertainment
PS3,2010,Action,Ubisoft
DS,2008,Simulation,Rising Star Games
PS,1998,Sports,Konami Digital Entertainment
GBA,2001,Platform,THQ
XB,2006,Shooter,Electronic Arts
Wii,2007,Adventure,Nintendo
XB,2006,Action,THQ
PSP,2009,Action,LucasArts
PSP,2010,Action,Take-Two Interactive
WiiU,2015,Misc,Nintendo
3DS,2016,Action,Nintendo
PS3,2010,Action,Electronic Arts
Wii,2011,Sports,Namco Bandai Games
PS3,2011,Fighting,THQ
XB,2004,Role-Playing,Electronic Arts
PSP,2010,Sports,Sega
PS2,2007,Action,Disney Interactive Studios
PS,2000,Adventure,Capcom
PS,1997,Fighting,Capcom
PS2,2004,Misc,Mud Duck Productions
PSP,2007,Platform,Konami Digital Entertainment
PS2,2004,Action,Midway Games
SAT,1995,Fighting,Sega
PS3,2009,Puzzle,Namco Bandai Games
XB,2001,Simulation,LucasArts
X360,2007,Shooter,Vivendi Games
PS2,2003,Sports,Acclaim Entertainment
PS2,2003,Simulation,Konami Digital Entertainment
DS,2009,Action,Atari
3DS,2013,Action,Screenlife
PS2,2003,Misc,Sony Computer Entertainment
GBA,2001,Adventure,BAM! Entertainment
PS2,2003,Sports,Sony Computer Entertainment
GBA,2001,Adventure,Ubisoft
PSV,2013,Misc,Nippon Ichi Software
PC,N/A,Role-Playing,Unknown
PC,1998,Action,Eidos Interactive
PS2,2010,Sports,Konami Digital Entertainment
DC,1999,Racing,Sega
PS,1998,Shooter,Activision
PS2,2007,Action,Vivendi Games
PC,2007,Shooter,Take-Two Interactive
PS3,2007,Racing,THQ
PS2,2010,Sports,Sony Computer Entertainment
PS,2000,Misc,Hasbro Interactive
XB,2005,Shooter,Ubisoft
PSP,2009,Fighting,Namco Bandai Games
PS,2000,Sports,Sony Computer Entertainment
PS,1999,Action,Take-Two Interactive
PS,2000,Sports,Konami Digital Entertainment
PS3,2015,Shooter,Activision
SAT,1995,Action,Namco Bandai Games
X360,2012,Action,Electronic Arts
PSP,2009,Shooter,Activision
X360,2014,Shooter,Bethesda Softworks
DS,2009,Adventure,THQ
X360,2015,Simulation,Koch Media
PS2,2002,Platform,THQ
DS,2007,Misc,Square Enix
DS,2008,Platform,Konami Digital Entertainment
PS3,2010,Fighting,PQube
PS2,2006,Action,Activision
PSP,2007,Action,Warner Bros. Interactive Entertainment
SAT,1996,Adventure,Sega
PS2,2005,Adventure,THQ
Wii,2009,Misc,Ubisoft
Wii,2009,Simulation,Electronic Arts
PS3,2012,Action,Electronic Arts
PS,1996,Racing,Pioneer LDC
PSV,2015,Action,Warner Bros. Interactive Entertainment
Wii,2009,Misc,Hudson Soft
PSP,2009,Action,THQ
X360,2008,Action,Activision
PS2,2002,Adventure,Sony Computer Entertainment
Wii,2011,Misc,THQ
PSP,2009,Racing,THQ
X360,2011,Simulation,THQ
PS,1997,Strategy,Virgin Interactive
DS,2009,Action,LucasArts
NES,1985,Puzzle,Namco Bandai Games
N64,1999,Role-Playing,Nintendo
N64,1999,Action,Titus
PS3,2008,Sports,Electronic Arts
PS2,2002,Action,Atari
PSV,2014,Action,Warner Bros. Interactive Entertainment
PS2,2007,Role-Playing,Sony Computer Entertainment
PS,1997,Simulation,Sony Computer Entertainment
Wii,2009,Racing,Zoo Games
Wii,2008,Sports,RTL
X360,2010,Misc,MTV Games
PS,1999,Simulation,Taito
PS3,2012,Action,Activision
PC,2014,Shooter,Activision
Wii,2011,Misc,THQ
PS3,2010,Misc,Electronic Arts
PS2,2009,Misc,Activision
WiiU,2013,Action,Nintendo
Wii,2010,Action,Rising Star Games
X360,2006,Shooter,Electronic Arts
PS2,2001,Simulation,Metro 3D
PS2,2006,Misc,Sony Computer Entertainment
GC,2002,Fighting,Midway Games
Wii,2006,Role-Playing,Activision
PS2,2010,Action,Take-Two Interactive
PSP,2010,Misc,Namco Bandai Games
PS,1996,Misc,Empire Interactive
PS,1998,Sports,Magical Company
PS2,2008,Sports,Take-Two Interactive
GBA,2001,Misc,Konami Digital Entertainment
Wii,2008,Racing,Warner Bros. Interactive Entertainment
X360,2010,Action,505 Games
Wii,2008,Simulation,Electronic Arts
PS3,2008,Fighting,Midway Games
X360,2011,Misc,Ubisoft
PC,2011,Shooter,Take-Two Interactive
PSP,2010,Misc,Sega
PS2,2009,Role-Playing,Activision
SNES,1995,Puzzle,Nintendo
PS2,2005,Platform,Midway Games
SNES,1994,Sports,Konami Digital Entertainment
PS2,2001,Platform,Ubisoft
XOne,2015,Shooter,Take-Two Interactive
X360,2011,Shooter,Microsoft Game Studios
PS,2000,Fighting,Electronic Arts
PS2,2005,Action,Electronic Arts
PC,2012,Action,Electronic Arts
PS3,2012,Action,Capcom
DS,2009,Action,Ubisoft
DS,2009,Misc,Mentor Interactive
PS2,2002,Action,Activision
PS,2003,Misc,Sony Computer Entertainment
PS,2001,Sports,Sony Computer Entertainment
2600,1983,Adventure,Atari
PS3,2008,Misc,Disney Interactive Studios
3DS,2014,Simulation,Nintendo
X360,2007,Action,Ubisoft
2600,1981,Action,Coleco
Wii,2010,Action,Sega
PSV,2014,Misc,Sega
X360,2007,Strategy,Codemasters
GC,2003,Platform,THQ
PS3,2007,Action,Activision
PS3,2008,Sports,Sega
3DS,N/A,Action,Warner Bros. Interactive Entertainment
WiiU,2013,Role-Playing,Square Enix
PS3,2008,Platform,THQ
GB,1997,Role-Playing,Imagineer
PS2,2009,Sports,Take-Two Interactive
PS2,2002,Misc,Midway Games
PS2,N/A,Sports,Unknown
Wii,2012,Action,Activision
Wii,2009,Misc,Namco Bandai Games
PS3,2014,Action,Square Enix
2600,1982,Action,Sega
PS2,2005,Role-Playing,Midway Games
GC,2003,Sports,Electronic Arts
DS,2005,Strategy,Nintendo
DS,2009,Action,Konami Digital Entertainment
PS2,2008,Action,Tecmo Koei
PSP,2005,Fighting,THQ
PS2,2008,Action,Disney Interactive Studios
GBA,2005,Action,THQ
PS,1997,Strategy,Sony Computer Entertainment
GC,2005,Strategy,Nintendo
PS,1999,Sports,989 Studios
GC,2004,Action,THQ
XOne,2014,Misc,Ubisoft
SNES,1994,Fighting,Takara
XOne,2014,Sports,Electronic Arts
Wii,2007,Action,Ubisoft
Wii,2009,Action,Square Enix
PS3,2009,Sports,Activision Value
XOne,2016,Sports,Electronic Arts
SAT,1995,Fighting,Sega
PS,1999,Sports,989 Studios
PS3,2010,Action,Sega
PS2,2008,Platform,Vivendi Games
PSP,2011,Misc,Namco Bandai Games
N64,1999,Racing,Nintendo
N64,1997,Racing,Kemco
N64,1999,Sports,Acclaim Entertainment
N64,1997,Fighting,Midway Games
PS2,2001,Racing,Acclaim Entertainment
PS2,2004,Misc,Atari
PS,1999,Platform,Infogrames
X360,2010,Sports,Electronic Arts
DS,2009,Adventure,Focus Home Interactive
PS2,2007,Racing,Activision
PS2,2005,Sports,Sony Computer Entertainment
X360,2009,Action,LucasArts
PS2,2007,Sports,505 Games
PC,2010,Action,Take-Two Interactive
GBA,2001,Action,THQ
Wii,2009,Action,THQ
XB,2005,Racing,THQ
GC,2006,Action,Midway Games
DS,2009,Action,Sega
GC,2004,Simulation,Electronic Arts
PS,1999,Racing,Electronic Arts
GBA,2006,Role-Playing,Nintendo
GBA,2004,Action,THQ
DS,2007,Puzzle,Eidos Interactive
X360,2010,Sports,Activision
X360,2009,Fighting,THQ
WiiU,2014,Sports,Nintendo
X360,2007,Action,Eidos Interactive
PS,1999,Misc,Vivendi Games
SNES,1995,Role-Playing,ChunSoft
WiiU,2013,Platform,Sega
PS3,2008,Action,Sega
PS3,N/A,Action,Konami Digital Entertainment
GC,2002,Shooter,Activision
XB,2001,Sports,Electronic Arts
PS,2000,Adventure,Sony Computer Entertainment
PS3,2012,Simulation,Namco Bandai Games
PS2,2003,Platform,Sony Computer Entertainment
PS,1996,Strategy,Virgin Interactive
PS2,N/A,Simulation,Unknown
PS3,2010,Sports,Electronic Arts
PC,2010,Role-Playing,Electronic Arts
PS2,2004,Strategy,Namco Bandai Games
GC,2004,Shooter,Activision
DS,2010,Action,Warner Bros. Interactive Entertainment
DS,2007,Role-Playing,D3Publisher
X360,2015,Adventure,Square Enix
X360,2006,Action,Eidos Interactive
SNES,1995,Role-Playing,Namco Bandai Games
X360,2010,Role-Playing,Sega
PS2,2005,Racing,Jester Interactive
PS2,2004,Fighting,Konami Digital Entertainment
PS3,2013,Misc,Ubisoft
PS2,2007,Action,Take-Two Interactive
XB,2005,Action,Activision
PS3,2013,Racing,Codemasters
3DS,2012,Action,Warner Bros. Interactive Entertainment
PS2,2007,Racing,THQ
PS3,2015,Action,Activision
N64,1998,Sports,Electronic Arts
Wii,2009,Sports,Take-Two Interactive
PS3,2011,Role-Playing,Square Enix
PS3,2008,Action,Sega
Wii,2007,Sports,505 Games
DS,2008,Racing,Activision
PSP,2011,Role-Playing,Level 5
PS,2000,Racing,Hasbro Interactive
PS,1997,Fighting,Virgin Interactive
2600,1982,Racing,Mattel Interactive
PS2,2002,Shooter,Namco Bandai Games
GBA,2003,Action,THQ
Wii,2008,Fighting,Tomy Corporation
PS2,2008,Sports,Electronic Arts
PSP,2011,Action,LucasArts
XB,2002,Shooter,Sega
Wii,2008,Role-Playing,Rising Star Games
GBA,2002,Role-Playing,Nintendo
PSP,2009,Action,THQ
3DS,2011,Sports,Electronic Arts
DS,2008,Sports,Ubisoft
X360,2012,Shooter,Take-Two Interactive
PSP,2008,Sports,Electronic Arts
2600,1981,Action,Activision
DS,2008,Misc,Activision
PSP,2006,Platform,Sony Computer Entertainment
PS,1998,Sports,Take-Two Interactive
DS,2008,Misc,THQ
GC,2004,Misc,Nintendo
PS4,2013,Misc,Ubisoft
PS3,2013,Adventure,Konami Digital Entertainment
PS,2001,Role-Playing,Enterbrain
3DS,2012,Role-Playing,Namco Bandai Games
X360,2011,Shooter,THQ
PSV,2012,Racing,Sony Computer Entertainment
DS,2009,Racing,Electronic Arts
Wii,2011,Adventure,Nintendo
DS,2005,Platform,Nintendo
X360,2010,Sports,Electronic Arts
3DS,2011,Strategy,Ubisoft
Wii,2011,Misc,Namco Bandai Games
PC,2005,Strategy,Microsoft Game Studios
XB,2003,Sports,Electronic Arts
PS3,2015,Sports,Sony Computer Entertainment
GBA,2004,Sports,Electronic Arts
N64,1999,Sports,Acclaim Entertainment
N64,2000,Fighting,Nintendo
N64,1998,Racing,Acclaim Entertainment
N64,1999,Action,3DO
PS3,N/A,Action,Vivendi Games
GC,2005,Adventure,Nintendo
PC,2009,Simulation,Ubisoft
PS2,2003,Misc,Sony Computer Entertainment
Wii,2008,Misc,Activision
PS2,2000,Fighting,Ubisoft
PS2,2002,Action,Eidos Interactive
Wii,2010,Misc,Warner Bros. Interactive Entertainment
WiiU,2012,Action,Activision
WiiU,2012,Misc,Ubisoft
SNES,1991,Fighting,Human Entertainment
PS2,2005,Sports,Activision
PS3,2006,Role-Playing,Activision
DS,2009,Adventure,THQ
PS3,2008,Racing,Capcom
Wii,2008,Simulation,Ubisoft
PS2,2003,Misc,Ubisoft
PS3,2013,Sports,Electronic Arts
SNES,1992,Fighting,Takara
X360,2013,Simulation,Focus Home Interactive
GB,2001,Role-Playing,Banpresto
Wii,2007,Adventure,Ubisoft
3DS,2011,Sports,Electronic Arts
GBA,2005,Simulation,Electronic Arts
PS2,2006,Platform,Vivendi Games
PS3,2014,Sports,Sony Computer Entertainment America
SNES,1994,Sports,Namco Bandai Games
PS2,2002,Racing,Capcom
XB,2005,Shooter,Ubisoft
DS,2009,Misc,Avanquest
Wii,2009,Sports,505 Games
PS2,2007,Sports,Electronic Arts
PS2,2008,Misc,Konami Digital Entertainment
2600,1981,Action,Data Age
PS,1999,Simulation,Konami Digital Entertainment
3DS,2011,Action,Tecmo Koei
X360,2006,Action,Eidos Interactive
DS,2009,Action,Activision
Wii,2009,Misc,Nordic Games
GBA,2003,Sports,Electronic Arts
DS,2007,Misc,Ubisoft
PS4,2015,Action,Deep Silver
PS2,2003,Action,THQ
3DS,2013,Action,Namco Bandai Games
DS,2008,Role-Playing,Sega
PS,1996,Sports,Electronic Arts Victor
PS3,2009,Sports,Sega
SNES,1991,Sports,Nintendo
PS2,2003,Role-Playing,Ghostlight
GB,1998,Platform,Nintendo
PS,1997,Racing,GT Interactive
PSV,2013,Role-Playing,Nippon Ichi Software
PS,1998,Racing,Human Entertainment
DS,2009,Simulation,Ubisoft
XB,2004,Sports,Sega
PS2,2007,Action,Warner Bros. Interactive Entertainment
Wii,2008,Sports,Activision Value
Wii,2009,Role-Playing,Rising Star Games
PS2,2007,Strategy,Namco Bandai Games
WiiU,2012,Action,Warner Bros. Interactive Entertainment
PS3,2008,Misc,Disney Interactive Studios
Wii,2009,Misc,Pinnacle
PSV,2015,Role-Playing,Namco Bandai Games
PS3,2010,Sports,Black Bean Games
GBA,2005,Platform,Jack of All Games
PSP,2009,Fighting,Namco Bandai Games
PS2,2001,Sports,Sony Computer Entertainment
GC,2002,Shooter,Acclaim Entertainment
X360,2015,Shooter,Activision
DS,2007,Simulation,Atari
PS2,2002,Strategy,Namco Bandai Games
GBA,2002,Action,Ubisoft
PS2,2008,Sports,Sega
PS2,2002,Action,Sega
PS3,2007,Sports,Electronic Arts
SAT,1995,Role-Playing,Atlus
3DS,2011,Platform,Ubisoft
PS3,2007,Sports,Electronic Arts
GC,2005,Fighting,Electronic Arts
PS3,2014,Sports,Electronic Arts
PS,1994,Sports,Sony Computer Entertainment
XOne,2016,Racing,Microsoft Game Studios
Wii,2009,Action,Codemasters
PS,1998,Action,Eidos Interactive
PS,2000,Strategy,Namco Bandai Games
PS2,2005,Misc,THQ
PS2,2004,Racing,Empire Interactive
3DS,2013,Adventure,Capcom
GC,2003,Sports,Electronic Arts
PS2,2010,Sports,Electronic Arts
PS4,2015,Role-Playing,Namco Bandai Games
GBA,2004,Action,Disney Interactive Studios
3DS,2012,Action,Konami Digital Entertainment
PS2,2003,Strategy,Atari
DS,2006,Misc,Nintendo
PS3,2006,Sports,Take-Two Interactive
PS,1996,Action,Namco Bandai Games
PS2,2002,Role-Playing,Enix Corporation
PS2,2000,Shooter,Konami Digital Entertainment
GB,1991,Role-Playing,SquareSoft
Wii,2009,Sports,Sega
PS2,2008,Platform,Take-Two Interactive
PS2,2008,Action,Sega
PS2,2008,Shooter,Electronic Arts
Wii,2011,Sports,Activision
PS3,2010,Fighting,Electronic Arts
PSP,2010,Action,Sega
Wii,2009,Racing,Codemasters
SAT,1996,Simulation,Konami Digital Entertainment
PS,1999,Action,Sony Computer Entertainment
DS,2009,Misc,Activision
XB,2002,Action,Interplay
PS2,2007,Racing,THQ
PS,1998,Racing,GT Interactive
SNES,1995,Strategy,Banpresto
PSP,2007,Sports,Electronic Arts
GC,2003,Adventure,Nintendo
PSP,2011,Misc,Namco Bandai Games
3DS,2012,Role-Playing,Atlus
PS,2000,Racing,Sony Computer Entertainment
PS,1999,Sports,989 Sports
WiiU,2012,Action,Warner Bros. Interactive Entertainment
PS3,2016,Sports,Electronic Arts
PC,2011,Action,THQ
PS4,2014,Misc,Ubisoft
PS2,2008,Action,Activision
Wii,2010,Simulation,Activision
2600,N/A,Puzzle,Atari
DS,2008,Simulation,Ubisoft
Wii,2010,Misc,MTV Games
2600,1982,Action,Atari
DS,2010,Racing,Activision
PSV,2013,Action,Tecmo Koei
PS2,2004,Misc,Sony Computer Entertainment
XB,2005,Simulation,Konami Digital Entertainment
PS3,2014,Fighting,Namco Bandai Games
PS2,2010,Fighting,THQ
PC,2010,Racing,Electronic Arts
DS,2006,Platform,Vivendi Games
3DS,2011,Sports,Konami Digital Entertainment
3DS,2011,Role-Playing,Ghostlight
DS,2009,Role-Playing,Namco Bandai Games
Wii,2009,Fighting,THQ
PS3,2011,Shooter,Sega
PSP,N/A,Action,Sega
GC,2004,Action,Electronic Arts
X360,2005,Shooter,Activision
DS,2008,Adventure,Ubisoft
2600,1986,Shooter,Atari
DS,2008,Simulation,Ubisoft
PS2,2006,Fighting,Atari
DS,2009,Simulation,THQ
WiiU,2012,Sports,Ubisoft
PS3,2014,Shooter,Sega
DS,2008,Fighting,Takara Tomy
PS3,2009,Action,Konami Digital Entertainment
DS,2007,Platform,Vivendi Games
PS,1997,Fighting,SquareSoft
DS,2010,Action,Scholastic Inc.
X360,2009,Misc,Electronic Arts
PS2,2008,Sports,Electronic Arts
GC,2005,Action,Activision
PS4,2016,Adventure,Square Enix
X360,2007,Role-Playing,Microsoft Game Studios
XB,2002,Sports,Microsoft Game Studios
Wii,2007,Sports,Take-Two Interactive
X360,2006,Sports,Spike
PS,1994,Shooter,Sony Computer Entertainment
PS2,2006,Simulation,Ubisoft
Wii,2009,Action,Eidos Interactive
PC,2016,Shooter,Ubisoft
PSP,2011,Role-Playing,Sega
DS,2008,Simulation,Ubisoft
XOne,2015,Action,Warner Bros. Interactive Entertainment
GC,2002,Platform,THQ
PS2,2003,Sports,Natsume
PS2,2004,Sports,Activision
PSP,2010,Action,Ubisoft
PS2,2006,Action,Midway Games
PS2,2002,Sports,3DO
PSP,2010,Sports,Electronic Arts
SNES,1994,Sports,Human Entertainment
SAT,1995,Shooter,Sega
Wii,2011,Sports,Electronic Arts
PC,2011,Shooter,Bethesda Softworks
PS2,2007,Action,Activision
PS,1998,Adventure,Sony Computer Entertainment
X360,2011,Role-Playing,Square Enix
PSP,2007,Racing,THQ
Wii,2009,Sports,Destineer
N64,2000,Role-Playing,ChunSoft
N64,1999,Shooter,Acclaim Entertainment
N64,2000,Action,THQ
2600,1981,Action,Imagic
GC,2004,Role-Playing,Nintendo
PSP,2012,Action,Electronic Arts
PS3,2009,Strategy,Electronic Arts
PSP,2007,Action,Electronic Arts
PC,2008,Strategy,Sega
GC,2002,Action,Nintendo
DS,2007,Puzzle,Namco Bandai Games
GBA,2003,Sports,Knowledge Adventure
PS3,2009,Platform,Capcom
X360,2009,Shooter,Warner Bros. Interactive Entertainment
GBA,2003,Adventure,Square Enix
PS4,2015,Action,Bethesda Softworks
PSP,2006,Role-Playing,Activision
PSP,2005,Sports,Electronic Arts
SNES,1994,Strategy,Banpresto
PS2,2006,Sports,Electronic Arts
N64,1999,Sports,Konami Digital Entertainment
3DS,2014,Misc,Square Enix
DS,2005,Simulation,Nintendo
SNES,1994,Role-Playing,Atlus
PS2,2006,Role-Playing,Namco Bandai Games
Wii,2008,Simulation,Game Factory
PC,2014,Strategy,Take-Two Interactive
PC,2011,Action,Electronic Arts
DC,1998,Fighting,Sega
PS3,2011,Action,Activision
GB,1997,Strategy,ASCII Entertainment
PS4,2013,Platform,Activision
PSV,2012,Action,Warner Bros. Interactive Entertainment
PS4,2015,Misc,Harmonix Music Systems
PC,2009,Shooter,Valve Software
PS2,2007,Simulation,Electronic Arts
PSP,2006,Sports,Electronic Arts
Wii,2008,Action,Disney Interactive Studios
XB,N/A,Sports,Electronic Arts
DS,2009,Racing,Activision
DS,2007,Sports,Atari
GC,2004,Shooter,Electronic Arts
SNES,1994,Sports,Media Rings
PS2,2008,Fighting,Namco Bandai Games
SAT,1996,Adventure,Elf
X360,2010,Action,Ubisoft
PS2,2001,Sports,Konami Digital Entertainment
DS,N/A,Puzzle,Unknown
PS4,2016,Action,Capcom
SNES,1994,Fighting,Human Entertainment
SNES,1993,Fighting,Namco Bandai Games
PS2,2002,Adventure,ChunSoft
PS2,2003,Sports,3DO
PS2,2005,Action,Vivendi Games
PS2,2005,Shooter,Midway Games
DS,2010,Fighting,Namco Bandai Games
PSP,2006,Role-Playing,Square Enix
PSP,2008,Sports,Electronic Arts
X360,2013,Action,Deep Silver
X360,2013,Sports,Electronic Arts
PSP,2008,Platform,Sony Computer Entertainment
PS2,2001,Simulation,Tecmo Koei
PS2,2005,Action,THQ
X360,2010,Action,Activision
X360,2009,Fighting,PQube
PS,1997,Simulation,Activision
PS3,2013,Shooter,D3Publisher
GBA,2002,Action,Nintendo
PS2,2001,Role-Playing,Sony Computer Entertainment
Wii,2009,Misc,Ubisoft
PS,1997,Action,Namco Bandai Games
GBA,N/A,Action,Unknown
X360,N/A,Strategy,Kalypso Media
DS,2008,Racing,Warner Bros. Interactive Entertainment
Wii,2009,Sports,Take-Two Interactive
WiiU,2012,Action,Ubisoft
SNES,1997,Platform,Nintendo
PS,1997,Sports,Starfish
PS2,2000,Sports,Sony Computer Entertainment
XB,2005,Action,Take-Two Interactive
NES,1993,Action,Ocean
N64,1997,Action,Konami Digital Entertainment
N64,1997,Puzzle,Nintendo
N64,2000,Action,THQ
PSV,2013,Fighting,Marvelous Entertainment
Wii,2008,Sports,Zushi Games
PS,2001,Racing,Activision
PS3,2009,Misc,Activision
GBA,2001,Sports,Activision
Wii,2008,Sports,Bethesda Softworks
XB,2004,Simulation,Microsoft Game Studios
PC,2014,Action,Warner Bros. Interactive Entertainment
GBA,2002,Simulation,Jorudan
SNES,1994,Role-Playing,Laguna
WiiU,2013,Shooter,Activision
PS,1999,Racing,LEGO Media
Wii,2011,Sports,Take-Two Interactive
Wii,2009,Fighting,Ubisoft
X360,2011,Misc,Microsoft Game Studios
XB,2003,Sports,Sega
DS,2007,Racing,"Destination Software; Inc"
PS2,2005,Fighting,Atari
X360,2015,Misc,Ubisoft
DS,2007,Strategy,THQ
PS2,2004,Sports,Zoo Digital Publishing
PS2,2004,Sports,Sega
PS3,2010,Action,Capcom
PS3,2012,Shooter,Activision
PSP,2012,Strategy,Namco Bandai Games
Wii,2011,Fighting,THQ
PS2,2003,Platform,Take-Two Interactive
PS2,2003,Role-Playing,Sony Computer Entertainment
PS,2000,Simulation,Konami Digital Entertainment
PS3,2008,Adventure,Sega
Wii,2009,Misc,Mindscape
GBA,2001,Strategy,Banpresto
PC,N/A,Action,Square Enix
Wii,2007,Action,Zoo Digital Publishing
PC,2013,Strategy,THQ
PS3,2013,Shooter,Trion Worlds
Wii,2011,Misc,Nordic Games
PS,1995,Fighting,New
2600,1981,Action,Mattel Interactive
Wii,2010,Simulation,Konami Digital Entertainment
XB,2002,Action,Electronic Arts
X360,2010,Fighting,Electronic Arts
PSP,2011,Role-Playing,Namco Bandai Games
PS,1998,Racing,Acclaim Entertainment
SNES,1994,Platform,Konami Digital Entertainment
PS3,2008,Misc,Electronic Arts
DS,2010,Platform,Capcom
PS2,2001,Racing,Midway Games
